Model_Name,Corner_Index,X,Y
link_0,1,0.5,0.5
link_0,2,-0.5,0.5
link_0,3,-0.5,-0.5
link_0,4,0.5,-0.5
link_0_clone,1,0.5,0.5
link_0_clone,2,-0.5,0.5
link_0_clone,3,-0.5,-0.5
link_0_clone,4,0.5,-0.5
link_0_clone_0,1,0.5,0.5
link_0_clone_0,2,-0.5,0.5
link_0_clone_0,3,-0.5,-0.5
link_0_clone_0,4,0.5,-0.5
link_0_clone_0_clone,1,0.5,0.5
link_0_clone_0_clone,2,-0.5,0.5
link_0_clone_0_clone,3,-0.5,-0.5
link_0_clone_0_clone,4,0.5,-0.5
link_0_clone_0_clone_0,1,0.5,0.5
link_0_clone_0_clone_0,2,-0.5,0.5
link_0_clone_0_clone_0,3,-0.5,-0.5
link_0_clone_0_clone_0,4,0.5,-0.5
link_0_clone_0_clone_1,1,0.5,0.5
link_0_clone_0_clone_1,2,-0.5,0.5
link_0_clone_0_clone_1,3,-0.5,-0.5
link_0_clone_0_clone_1,4,0.5,-0.5
link_0_clone_1,1,0.5,0.5
link_0_clone_1,2,-0.5,0.5
link_0_clone_1,3,-0.5,-0.5
link_0_clone_1,4,0.5,-0.5
link_0_clone_clone,1,0.5,0.5
link_0_clone_clone,2,-0.5,0.5
link_0_clone_clone,3,-0.5,-0.5
link_0_clone_clone,4,0.5,-0.5
link_0_clone_clone_clone,1,0.5,0.5
link_0_clone_clone_clone,2,-0.5,0.5
link_0_clone_clone_clone,3,-0.5,-0.5
link_0_clone_clone_clone,4,0.5,-0.5
link_0_clone_clone_clone_0,1,0.5,0.5
link_0_clone_clone_clone_0,2,-0.5,0.5
link_0_clone_clone_clone_0,3,-0.5,-0.5
link_0_clone_clone_clone_0,4,0.5,-0.5
link_0_clone_clone_clone_clone,1,0.5,0.5
link_0_clone_clone_clone_clone,2,-0.5,0.5
link_0_clone_clone_clone_clone,3,-0.5,-0.5
link_0_clone_clone_clone_clone,4,0.5,-0.5
link_1,1,0.5,0.5
link_1,2,-0.5,0.5
link_1,3,-0.5,-0.5
link_1,4,0.5,-0.5
link_1_clone,1,0.5,0.5
link_1_clone,2,-0.5,0.5
link_1_clone,3,-0.5,-0.5
link_1_clone,4,0.5,-0.5
